condition,review,rating,usefulCount
Pain,"""Suffering with chronic pain from debilitating spinal injuries, I was always prescribed Acetaminophen containing hydrocodone. I was always getting bad acid reflux and digestive problems I would explain this to my original pain management Dr. And he would switch me from Vicodin to Percocet and the constant stomach issues continued. I switched to a new Pain Dr. I told him I was feeling fatigue and constant acid reflux when taking my pain medicines. He suggested trying A time released pain medicine with no acetaminophen he felt I was taking too much Acetaminophen and perhaps too many pills period (4 pills a day) He suggested to try Zohydro, I Am forever grateful I switched. Great relief of back pain and stomach problems. 10 stars.""",10.0,137
Birth Control,"""The pills didn&#039;t cause any side effects or me, other than a constant spotting which is unimaginably irritating, and made me feel too embarrassed to get intimate making my annoyance for nothing. I&#039;m hoping that the spotting stops soon. Although my the pills were convenient, with the purple package and made my period considerably lighter!""",7.0,6
Insomnia,"""I have been on 10 mg. Amitriptyline... for a month  and am really getting   a good night  sleep. I must say the first weeks, I was really tired and and exhausted . After 3 weeks my body adjusted quite well. I have a low tolerance to medication so 10 mg. Is good for now.""",7.0,123
Acne,"""I took Accutane when I was a teenager in the 1980&#039;s...I don&#039;t remember any side effects .  My acne was pretty bad and it cured it.   I haven&#039;t had a problem since.""",10.0,45
Major Depressive Disorde,"""Helped better than any other antidepressant I have taken (&amp; there have been a few!)  Major depressive disorder is a tricky one. Still working on that (20 yrs.  now), but I&#039;m function able.""",6.0,59
Acne,"""I&#039;m 29 and suffered from small acne spots that broke out to big.. and I do mean big... pimples on my forehead. Tried everything off the counter to get rid of it. When I plucked up the courage to go to a doctor he prescribed 3 things to me: 
- Dalacin T (Day &amp; Night) 
- Epiduo (Night) 
- Physiogel AI Cream (Night)
He did stress that the Epiduo will burn for a couple of weeks before I got used to it and the Physiogel was to counter the effects a little. After 3 weeks it started clearing a bit and now after nearly a year, my skin is clear!
What I suggest before using this product is to ask a dermatologist for their point of view. There is a chance that this might not be the medication for you so they can prescribe you something else.""",10.0,13
Anxiety,"""I take this medicine for anxiety along with escitalopram. I find it works really well, with no side effects, other than drowsiness, which has lessened now that I am used to it.""",9.0,17
Sinusitis,"""This medication worked to clear up my sinus infection but gave me BLINDING, and I mean BLINDING headaches to the point where I couldn&#039;t even move my head without wincing in pain.   That was the only side effect I experienced though.  My guess is it&#039;s a pretty strong antibiotic and can affect everyone differently.""",5.0,111
Urinary Tract Infection,"""This is my second time on Macrobid both times given during pregnancy. The first time it made me extremely sick and I took it after a light snack and drank milk. I felt so bad I couldn&#039;t stomach taking the pill again. This time around I got a urinary tract infection so bad I was having very bad pains under my ribs so I figured the sickness from the antibiotic was better then the severe pain I was having. I started the meds four days ago now and I feel 100% better! Before every dose I eat a COMPLETE MEAL so that my stomach is coated and I have not had one side effect besides drowsiness which I don&#039;t mind as much, but the pain is gone and I am back to my normal self. I am so happy the pills worked so fast and with food leave me perfectly fine.""",10.0,51
Allergic Rhinitis,"""Works within minutes to relieve allergy symptoms, sneezing and runny nose. Although after just 2 hrs of using this medicine I developed the side effects of a cough that got worse as I continued to use the medicine and an altered sense of smell over three days. After the third day I stopped using the medicine, after developing more symptoms, weakness and fatigue and joint pain and swelling in my hands. One week after stopping medicine joint pain and swelling have increased.""",8.0,6
Multiple Sclerosis,"""Been on Copaxone 6 months. Injections really do get easy they are almost always pain free and rarely get injection site reactions. I know it&#039;s early but I do feel like I have more energy then I have had in the past 4 years since being diagnosed with multiple sclerosis. Don&#039;t let people&#039;s horror stories scare you it&#039;s really not bad very few people actually have IPIR.""",9.0,70
Generalized Anxiety Disorde,"""I WISH Lexapro worked for me like it seems to for everyone else. The first few weeks were a nightmare (tired, nauseous, dizzy, panic attacks), but it did get me out of the deep slump I was in. Then I seemed to get better out of the blue but for the past couple of weeks I&#039;ve slowly been slipping back into that slump. I&#039;ve been on it about 2 months. It&#039;s causing me to have the most bizarre nightmares. I can&#039;t stop thinking about them during the day. I feel like a total zombie too, no emotion whatsoever. I guess that&#039;s why I feel like my anxiety has been eased. I&#039;ve NEVER felt like this before, it&#039;s just bizarre.""",4.0,42
Weight Loss,"""I have Hashimotos and had my thyroid removed in 2002. I have had problems ever since with weight. I also suffer from Migraines with up to 12 a month. My weight before my thyroidectomy averaged 145-150. I have been up and down with every diet out there. Finally reaching 196 lbs on 5/1/2014. I researched Qsymia. And marched into my Doctor on 5/3/2014 and begged him to prescribe it. He reluctantly did. As of 5/29/2014 I have had only one migraine (Topamax one of the ingredients is used for migraines) and now weigh 180 lbs.""",10.0,80
Polycystic Ovary Syndrome,"""No menstrual at all. No cramps or bloating. Works really well for me.""",10.0,20
Diabetic Peripheral Neuropathy,"""I was on Gabapentin and there was 3 other medications that caused some of the same side effects and after a few years it stopped helping.  I stopped it for about 2 months and now the pain in my legs are back.  I started taking 2 capsules a day and the pain in my legs are a lot better.  Problem is the unsteadiness, can&#039;t hold things and drop them, This is after I took it for one day and this is happening on day two. May just take it when the pain becomes unbearable.  I get it from the VA so I don&#039;t know if they have any other medication that treats the same problem and if so will ask to be given it for awhile to see if it works.  VA covers my expense after billing my outside insurance first then cover the rest for service connected.""",7.0,35
